"skill_name","jobs_count"
"sql","8"
"python","7"
"tableau","6"
"r","4"
"snowflake","3"
"pandas","3"
"excel","3"
"atlassian","2"
"jira","2"
"aws","2"
"azure","2"
"bitbucket","2"
"confluence","2"
"gitlab","2"
"go","2"
"numpy","2"
"oracle","2"
"power bi","2"
"jenkins","1"
"crystal","1"
"powerpoint","1"
"pyspark","1"
"hadoop","1"
"git","1"
"sap","1"
"jupyter","1"
"flow","1"
"databricks","1"
